location	Przeźmierowo	#DAAC3D
location	Plewiska	#DCAC3D
location	Oborniki	#DCAA3C
location	Poznan	#DDA93C
location	Baranowo	#DEA83C
location	Wysławice	#DEA63B
location	Jarocin	#DFA53B
location	Kraków	#DFA43B
location	Warszawa	#E0A23A
location	Dolný Kubín	#E1A13A
location	Martincek	#E19F3A
location	Zehra	#E29E39
location	Budapest	#E29D39
location	Novi Pazar	#E39B39
location	Kraljevo	#E39A38
location	Kragujevac	#E49938
location	Pancevo	#E59738
location	Vrsac	#E59637
location	Backa Palanka	#E69437
location	Novi Sad	#E69237
location	Becej	#E69036
location	Kikinda	#E68E36
location	Subotica	#E68C36
location	Strpce	#E68A35
location	Lipljan	#E68835
location	Struga	#E68634
location	Ohrid	#E68434
location	Bitola	#E68234
location	Prilep	#E68033
location	Veles	#E67E33
location	Kumanovo	#E67C33
location	Shtip	#E67A32
location	Strumica	#E67832
location	Širvintų rajono savivaldybė	#E67631
location	Rovaniemi	#E67431
location	Uzda	#E67131
location	Kolodishchi	#E56F30
location	Smalyavichy	#E56C30
location	Dubrowna	#E56A2F
location	Mozyr	#E4672F
location	Kalinkavichy	#E4652E
location	Rabnita	#E4622E
location	Yevpatoriya	#E3602D
location	Novofedorovka	#E35D2D
location	Simpheropol	#E25B2C
location	Crimea	#E2582C
location	Alushta	#E2562B
location	Saint-Petersburg	#E1532B
location	Veliky Novgorod	#E1512A
location	Moscow	#E04E2A
location	Krasnodar	#E04C29
location	Ivanovo	#E04929
location	Zavolzhsk	#DF4728
location	Kineshma	#DF4428
location	Astrakhan	#DF4127
location	Orenburg	#DE3F27
location	Sysert	#DE3C26
location	Kashino	#DE3A26
location	Yekaterinburg	#DD3726
location	Azovo	#DD3525
location	Omsk	#DD3225
location	Tara	#DC3024
location	Novovarshavka	#DC2D24
location	Vladivostok	#DC2B23
location	Petropavlovsk-Kamchatsky	#DB2823
		
division	Reykjavik	#5E1D9D
division	Setúbal	#5C1D9E
division	Lisbon	#5B1DA0
division	Portugal	#591DA1
division	Leiria	#571EA3
division	Kerry	#561EA4
division	Mayo	#541EA5
division	Galway	#521EA7
division	Limerick	#511EA8
division	Cork	#4F1EAA
